,shannon_index,simpson_index,richness,evenness
kingdom,0.8484293910910599,0.5328449905482042,3.0,0.7722737127942049
phylum,0.8484293910910599,0.5328449905482042,3.0,0.7722737127942049
class,0.8484293910910599,0.5328449905482042,3.0,0.7722737127942049
order,0.8484293910910599,0.5328449905482042,3.0,0.7722737127942049
family,0.8484293910910599,0.5328449905482042,3.0,0.7722737127942049
genus,0.8484293910910599,0.5328449905482042,3.0,0.7722737127942049
species,0.8484293910910599,0.5328449905482042,3.0,0.7722737127942049
