,shannon_index,simpson_index,richness,evenness
kingdom,1.000979205606983,0.5970632443057001,3.0,0.9111305379812462
phylum,1.000979205606983,0.5970632443057001,3.0,0.9111305379812462
class,1.000979205606983,0.5970632443057001,3.0,0.9111305379812462
order,1.000979205606983,0.5970632443057001,3.0,0.9111305379812462
family,1.000979205606983,0.5970632443057001,3.0,0.9111305379812462
genus,1.000979205606983,0.5970632443057001,3.0,0.9111305379812462
species,1.000979205606983,0.5970632443057001,3.0,0.9111305379812462
