query_id,scientific_name,taxonomic_rank,hit_def,e_value,identity_percent,query_coverage
ASV_1;size=1,Unclassified,unknown,No BLAST available,,0.0,0.0
ASV_2;size=1,Unclassified,unknown,No BLAST available,,0.0,0.0
